strain,sex,PLT,animal_id,HGB,MCH,MCHC,MCV,RBC,WBC
C57BL/6J,f,1613,33459,14.8,15.3,34.3,44.6,9.71,9.3
C57BL/6J,f,15,33460,14.5,15.3,34.5,44.4,9.45,6.5
C57BL/6J,f,1727,33461,14.2,15,34.7,43.2,9.47,4.5
C57BL/6J,f,1701,33462,14.6,15.3,34.7,44,9.59,6.7
C57BL/6J,f,1695,33463,15.2,15.2,34.8,43.6,9.99,7
C57BL/6J,f,1340,33464,14.5,15.2,34.1,44.5,9.58,6
C57BL/6J,f,1655,33465,14,15.2,34.6,43.9,9.19,4.5
C57BL/6J,f,1540,33466,15.5,15.6,35.1,44.4,9.94,10.7
C57BL/6J,f,1021,33467,14.1,16.1,34.7,46.3,8.79,7.9
C57BL/6J,f,1007,33468,14,15.9,34.4,46.2,8.79,6.1
C57BL/6J,f,1693,33469,15.2,16.2,36.4,44.5,9.37,9.8
C57BL/6J,f,1554,33470,14.3,15.6,34.9,44.8,9.13,8
C57BL/6J,f,1620,33471,13.8,15,35.1,42.8,9.17,5.1
C57BL/6J,f,1553,33472,14.3,15.6,35.4,44.2,9.12,7.4
C57BL/6J,f,1631,33473,15.4,16,36.3,44.1,9.61,9.9
C57BL/6J,f,1540,33474,15.5,15.6,35.6,44,9.91,9.3
C57BL/6J,f,1598,33475,15.2,15.8,36,43.9,9.64,8.7
C57BL/6J,f,1150,33476,15.4,15.4,35.7,43.1,10,8.9
C57BL/6J,f,1469,33477,14.4,15.5,36.4,42.5,9.35,10.2
C57BL/6J,f,1560,33478,14.5,15.3,35.2,43.5,9.5,9.7
C57BL/6J,f,816,33939,15.4,15.3,34,45,10.1,7
C57BL/6J,f,584,33940,15.4,15.4,32.3,48,10,3.1
C57BL/6J,f,807,33941,16,15.8,34.6,46,10.1,2.8
C57BL/6J,f,843,33942,15.3,14.7,32.5,45,10.4,3.6
C57BL/6J,f,788,33943,13.7,14.9,33,45,9.17,3.4
C57BL/6J,f,796,33944,14.5,15.2,33.9,45,9.51,4.9
C57BL/6J,f,879,33945,16.5,14.9,33.4,45,11.1,5
C57BL/6J,f,913,33946,15.8,14.8,33.2,45,10.7,4.1
C57BL/6J,f,976,33947,15,14.8,32.9,45,10.1,5
C57BL/6J,f,814,33948,15,14.7,32.7,45,10.2,4.1
C57BL/6J,f,1074,33949,14.6,14.6,32.6,45,10,2.5
C57BL/6J,f,969,33950,14.4,14.3,32.3,44,10.1,2
C57BL/6J,f,1042,33951,13.9,14.2,32.1,44,9.75,5.9
C57BL/6J,f,1025,33952,16.1,14.7,33.1,44,11,3.4
C57BL/6J,f,979,33953,14.4,14.5,32.5,45,9.93,2.3
C57BL/6J,m,1557,33439,14.3,14.8,34,43.5,9.69,9.4
C57BL/6J,m,1609,33440,14.8,14.9,34.4,43.3,9.89,8.9
C57BL/6J,m,1702,33441,14.9,15.3,35.4,43.3,9.71,9.5
C57BL/6J,m,1600,33442,15,15.7,35.5,44.1,9.6,9.8
C57BL/6J,m,1532,33443,14.7,14.9,34.4,43.3,9.82,7.9
C57BL/6J,m,1589,33444,14.6,15.2,34.5,44,9.64,7.4
C57BL/6J,m,1683,33445,15.1,15.1,34.7,43.5,9.97,6.3
C57BL/6J,m,1611,33446,14.6,14.8,33.8,43.9,9.84,7.5
C57BL/6J,m,1519,33447,15.6,15,34.1,43.9,10.4,7.1
C57BL/6J,m,1653,33448,14.3,15.4,34.9,44,9.34,6.2
C57BL/6J,m,1589,33449,14.3,15,34.8,43,9.56,9.1
C57BL/6J,m,1610,33450,15.3,15.1,35.1,43,10.1,7.6
C57BL/6J,m,1829,33451,15,14.9,35.2,42.4,10.1,5.2
C57BL/6J,m,1651,33452,14.4,15.2,34.7,43.7,9.49,9.1
C57BL/6J,m,1685,33453,15.3,15.3,35.4,43.3,9.97,8.3
C57BL/6J,m,1663,33454,15,15.1,35.4,42.5,9.93,6.3
C57BL/6J,m,1616,33455,14.6,15,34.8,43,9.75,6.3
C57BL/6J,m,1575,33456,14.3,15.2,35,43.4,9.41,8.3
C57BL/6J,m,1544,33457,14.4,15.5,35.4,43.9,9.27,9.3
C57BL/6J,m,1443,33458,15.1,15.3,36,42.5,9.86,7.2
C57BL/6J,m,708,33969,15.5,15,32.1,47,10.3,7.1
C57BL/6J,m,718,33970,15.9,15.1,31.9,47,10.5,5.2
C57BL/6J,m,930,33971,15.8,14.7,32.4,45,10.7,6.8
C57BL/6J,m,1000,33972,16.1,14.2,31.6,45,11.3,7.3
C57BL/6J,m,1013,33973,16.6,14.8,32.8,45,11.2,7.3
C57BL/6J,m,646,33974,13.9,14.9,32,47,9.32,3.8
C57BL/6J,m,673,33975,15.8,14.9,32.7,46,10.6,5.4
C57BL/6J,m,504,33976,12,14.8,33.4,44,8.09,5.4
C57BL/6J,m,1056,33977,13.9,15,33.1,45,9.27,7.6
C57BL/6J,m,908,33978,15.7,14.8,32.8,45,10.6,4.9
C57BL/6J,m,914,33979,16.1,14.5,32.5,45,11.1,2.8
C57BL/6J,m,935,33980,14.8,14.6,32.7,45,10.1,5.7
C57BL/6J,m,988,33981,18.5,19.2,42.5,45,9.62,5.7
C57BL/6J,m,958,33982,15.6,14.7,32.7,45,10.6,6.6
C57BL/6J,m,950,33983,15.2,14.5,32.3,45,10.5,4.9
