strain,sex,PLT,animal_id,WBC,NEUT,LYMP,pct_NEUT,pct_LYMP,HGB
C57BL/6J,f,663,2081,9.04,3.93,4.53,43.4,50.1,17.7
C57BL/6J,f,588,2082,6.8,1.25,5.35,18.3,78.7,17.1
C57BL/6J,f,622,2083,8.46,2.3,5.97,27.2,70.5,17.9
C57BL/6J,f,699,2084,11.7,3.94,7.13,33.7,61,16.1
C57BL/6J,f,624,2129,12.5,3.1,9.08,24.8,72.7,18.7
C57BL/6J,f,607,2130,8.72,1.84,6.49,21.1,74.5,17.7
C57BL/6J,f,819,2131,9.32,2.15,6.81,23.1,73.1,15.4
C57BL/6J,f,858,2132,14.9,3.61,10.3,24.2,69.2,15.7
C57BL/6J,f,617,2234,6.9,1.4,5.28,20.3,76.5,15.4
C57BL/6J,f,643,2235,11.3,2.27,8.34,20.1,74,14.9
C57BL/6J,f,210,2236,6.82,1.51,5.09,22.2,74.6,15
C57BL/6J,f,621,2237,5.4,0.85,4.31,15.7,79.9,13.4
C57BL/6J,m,827,2077,10.3,3.98,5.91,38.6,57.3,13.9
C57BL/6J,m,693,2078,8.3,3.49,4.5,42,54.2,13.4
C57BL/6J,m,488,2079,7.96,3.55,4.25,44.6,53.3,16.9
C57BL/6J,m,571,2080,6.56,2.89,3.62,44,55.2,16.3
C57BL/6J,m,618,2125,7.02,1.44,5.4,20.6,77,17
C57BL/6J,m,701,2126,7.34,1.83,5.23,24.9,71.2,16.2
C57BL/6J,m,802,2127,8.62,2.12,6.27,24.6,72.8,16.2
C57BL/6J,m,587,2128,8.06,1.82,5.9,22.6,73.2,18.1
C57BL/6J,m,721,2230,5.26,2.25,2.71,42.7,51.5,13.8
C57BL/6J,m,700,2231,6.76,3.02,3.42,44.7,50.6,14
C57BL/6J,m,771,2232,7,1.28,5.47,18.3,78.2,14.1
C57BL/6J,m,641,2233,4.56,1.96,2.36,43.1,51.7,13.4
C57BL/6J,m,816,2492,10.7,1.95,8.51,18.2,79.3,15.5
