strain,sex,PLT,MPV,animal_id,WBC,RBC,mHGB,HCT,MCV,MCH,MCHC,CHCM,RDW,HDW,NEUT,LYM,MONO,EOS,LUC,BASO,Retic,cHGB,Fib,PT,PTT
C57BL/6J,f,1420,8.5,0664F01,9.17,8.72,14.1,42.6,48.8,16.2,33.2,30.9,16.7,2.53,5,87.4,0.9,3.5,0.5,2.7,,13.2,165,9.4,23.3
C57BL/6J,f,1270,5.9,0664F02,6.69,7.83,12.7,38.5,49.2,16.2,32.9,31.9,17.8,2.65,4.9,88.3,0.5,2.2,0.7,3.4,,12.3,133,9.6,24.7
C57BL/6J,f,937,4,0664F03,10.1,9.98,15.7,44.9,45,15.7,34.9,33.6,14.6,2.28,6.2,87.4,0.8,3.6,0.9,1.2,,15.1,224,10.6,25.7
C57BL/6J,f,947,3.9,0664F04,7.49,9.51,14.8,42,44.1,15.6,35.3,34.1,14.4,2.32,6.4,88.3,0.8,2.3,0.5,1.7,,14.3,248,9.54,23
C57BL/6J,f,843,4,0664F05,10.2,9.56,15.3,43.5,45.5,16,35.1,33.8,14.2,2.11,7.1,86.7,0.9,3.2,0.8,1.3,,14.7,171,11.1,27.6
C57BL/6J,f,1060,9,0664F06,7.6,10.2,16.2,48.8,47.6,15.8,33.2,31.1,16.2,2.51,5.5,90.3,0.9,2.5,0.4,0.3,,15.2,137,10.1,22.3
C57BL/6J,f,1530,8.7,0664F07,6.96,8.64,13.8,41,47.5,16,33.7,31.4,16.4,2.51,5,91.2,0.8,1.9,0.8,0.3,,12.9,132,10.8,26
C57BL/6J,f,1250,12.1,0664F08,7.16,9.68,15.7,46,47.5,16.2,34.2,31.8,15.9,2.3,5.8,87.5,0.5,5.6,0.3,0.3,,14.6,147,9.95,21.4
C57BL/6J,f,1250,5.1,0664F09,8.4,8.7,14.1,43,49.4,16.2,32.8,30.2,15.3,2.15,,,,0,0.3,0.2,,13,172,9.96,21
C57BL/6J,f,1000,7.7,0664F10,6.83,9.27,14.9,44,47.5,16,33.8,31.4,15.7,2.24,6.9,88.8,1.1,2.3,0.8,0.2,,13.8,211,10.4,21.5
C57BL/6J,f,1290,8.2,0664F11,7.52,8.95,14.6,42.8,47.8,16.4,34.2,31.6,15.9,2.41,6.7,89.1,0.7,2.6,0.6,0.2,,13.5,160,10.6,21.6
C57BL/6J,m,1250,10.4,0644M01,8.58,9.52,14.3,42.4,44.6,15,33.6,31.3,17.4,2.25,11.7,81,0.9,3,0.5,2.9,,13.3,305,9.27,22.7
C57BL/6J,m,585,6.9,0664M01,11.4,10.7,16.5,54.3,50.6,15.4,30.4,31.4,15.5,2.05,7,87.9,0.6,2.6,1,0.9,,17.1,253,10.2,23.5
C57BL/6J,m,1760,6.2,0664M02,12.7,9.59,15,47.4,49.4,15.7,31.7,32.5,15.9,2.23,7.6,86.3,1,1.4,1.1,2.7,,15.4,251,10.3,22.4
C57BL/6J,m,1610,6.1,0664M03,9.56,8.93,13.6,44.3,49.6,15.3,30.8,32.3,16.7,2.64,7.1,85.7,1.1,2.2,0.9,2.9,,14.3,,,
C57BL/6J,m,1340,6.4,0664M04,8.89,9.48,14.5,46.5,49,15.2,31.1,32.2,16.5,2.46,8.8,84.5,1.2,2.2,1,2.3,,15,,,
C57BL/6J,m,1780,6.2,0664M05,12.2,8.38,12.9,40.5,48.3,15.4,31.8,32.8,17.7,2.89,12,83.8,1.1,1.5,1.6,4.6,,13.3,102,11,22.7
C57BL/6J,m,968,6.8,0664M06,9.92,9.41,14.4,47.1,50.1,15.3,30.6,32.2,17.4,2.56,16.9,74.1,1.5,2.1,1.9,3.5,,15.2,277,10.1,20
C57BL/6J,m,1400,6.3,0664M07,7.66,9.03,13.9,44.8,49.6,15.4,31,32.3,15.9,2.28,,53.9,1.7,1.6,2.9,2,,14.5,240,10,21.3
C57BL/6J,m,1610,7,0664M08,10.1,8.53,13.4,42.8,50.2,15.7,31.2,32,17.3,2.73,,46,1.5,1.2,2.8,2.8,,13.7,262,10,20.6
C57BL/6J,m,1300,8.8,0664M09,7.16,9.57,15.2,48.2,50.4,15.8,31.4,31.9,17.2,2.32,24.7,67.7,1.9,1.9,1.1,2.6,,15.4,155,11,21.3
C57BL/6J,m,500,6.6,0664M10,7.95,9.6,14.8,47.3,49.3,15.4,31.2,32.3,15.7,2.35,11,82.6,1.3,2.3,1.2,1.5,,15.3,244,10.5,21.8
